Timestamp,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw
0,1.4864878655,,,,
0.0333333333,1.4864878655,,,,
0.0666666666,1.4864878655,,,,
0.0999999999,1.4864878655,,,,
0.1333333332,1.4864878655,,,,
0.1666666665,1.4864878655,,,,
0.1999999998,1.4864878655,,,,
0.2333333331,1.4864878655,,,,
0.2666666664,1.4864878655,,,,
0.2999999997,1.4849538803,,,,
0.333333333,1.4864878655,,,,
0.3666666663,1.4864878655,,,,
0.3999999996,1.4864878655,,,,
0.4333333329,1.4864878655,,,,
0.4666666662,1.4864878655,,,,
0.4999999995,1.4864878655,,,,
0.5333333328,1.4864878655,,,,
0.5666666661,1.4849538803,,,,
0.5999999994,1.4864878655,,,,
0.6333333327,1.4864878655,,,,
0.666666666,1.4864878655,,,,
0.6999999993,1.4864878655,,,,
0.7333333326,1.4849538803,,,,
0.7666666659,1.4864878655,,,,
0.7999999992,1.4864878655,,,,
0.8333333325,1.4849538803,,,,
0.8666666658,1.4864878655,,,,
0.8999999991,1.4864878655,,,,
0.9333333324,1.4849538803,,,,
0.9666666657,1.4864878655,,,,
0.999999999,1.4864878655,,,,
1.0333333323,1.4849538803,,,,
1.0666666656,1.4864878655,,,,
1.0999999989,1.4864878655,,,,
1.1333333322,1.4864878655,,,,
1.1666666655,1.4849538803,,,,
1.1999999988,1.4864878655,,,,
1.2333333321,1.4864878655,,,,
1.2666666654,1.4849538803,,,,
1.2999999987,1.4864878655,,,,
1.333333332,1.4864878655,,,,
1.3666666653,1.4849538803,,,,
1.3999999986,1.4864878655,,,,
1.4333333319,1.4849538803,,,,
1.4666666652,1.4864878655,,,,
1.4999999985,1.4864878655,,,,
1.5333333318,1.4864878655,,,,
1.5666666651,1.4864878655,,,,
1.5999999984,1.4864878655,,,,
1.6333333317,1.4864878655,,,,
1.666666665,1.4864878655,,,,
1.6999999983,1.4864878655,,,,
1.7333333316,1.4849538803,,,,
1.7666666649,1.4864878655,,,,
1.7999999982,1.4849538803,,,,
1.8333333315,1.4864878655,,,,
1.8666666648,1.4849538803,,,,
1.8999999981,1.4864878655,,,,
1.9333333314,1.4849538803,,,,
1.9666666647,1.4849538803,,,,
1.999999998,1.4834198952,,,,
2.0333333313,1.4742159843,,,,
2.0666666646,1.446603775,,,,
2.0999999979,1.3867778778,,,,
2.1333333312,1.3530302048,,,,
2.1666666645,1.3024082184,,,,
2.1999999978,1.2548542023,,,,
2.2333333311,1.1643481255,,,,
2.2666666644,1.1045217514,,,,
2.2999999977,1.009414196,,,,
2.333333331,0.938849926,,,,
2.3666666643,0.8667521477,,,,
2.3999999976,0.7563040257,,,,
2.4333333309,0.6872739792,,,,
2.4666666642,0.6136419773,,,,
2.4999999975,0.5384759903,,,,
2.5333333308,0.4188239574,,,,
2.5666666641,0.3375220299,,,,
2.5999999974,0.2623560429,,,,
2.6333333307,0.1841220856,,,,
2.666666664,0.0598678589,,,,
2.6999999973,-0.024502039,,,,
2.7333333306,-0.1104059219,,,,
2.7666666639,-0.2331261635,,,,
2.7999999972,-0.4417500496,,,,
2.8333333305,-0.521517992,,,,
2.8666666638,-0.5844120979,,,,
2.8999999971,-0.7102000713,,,,
2.9333333304,-0.8160459995,,,,
2.9666666637,-0.8682019711,,,,
2.999999997,-0.9387660027,,,,
3.0333333303,-1.0031940937,,,,
3.0666666636,-1.1136419773,,,,
3.0999999969,-1.1888080835,,,,
3.1333333302,-1.2455661297,,,,
3.1666666635,-1.2915860415,,,,
3.1999999968,-1.3406740427,,,,
3.2333333301,-1.3928301334,,,,
3.2666666634,-1.4373160601,,,,
3.2999999967,-1.4679961205,,,,
