TimeStep,RS,RR,RR,RR,RR
0,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
1,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
2,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
3,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
4,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
5,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
6,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
7,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
8,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
9,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
10,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
11,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.48495388,-0.156509876,1.328444004,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.483419895,-0.156509876,1.326910019,0.156509876,-0.313019752
12,1.477283955,-0.156509876,1.320774079,0.156509876,-0.313019752
12,1.435865879,-0.156509876,1.279356003,0.156509876,-0.313019752
12,1.388311863,-0.156509876,1.231801987,0.156509876,-0.313019752
12,1.349962235,-0.156509876,1.193452359,0.156509876,-0.313019752
12,1.294737816,-0.156509876,1.13822794,0.156509876,-0.313019752
12,1.198095798,-0.156509876,1.041585922,0.156509876,-0.313019752
12,1.12293005,-0.156509876,0.966420174,0.156509876,-0.313019752
12,1.020152092,-0.156509876,0.863642216,0.156509876,-0.313019752
12,0.949587822,-0.156509876,0.793077946,0.156509876,-0.313019752
12,0.72715807,-0.156509876,0.570648194,0.156509876,-0.313019752
12,0.618243933,-0.156509876,0.461734057,0.156509876,-0.313019752
12,0.503193855,-0.154975891,0.348217964,0.154975891,-0.309951782
12,0.424959898,-0.154975891,0.269984007,0.154975891,-0.309951782
12,0.297637939,-0.154975891,0.142662048,0.154975891,-0.309951782
12,0.179519892,-0.156509876,0.023010016,0.156509876,-0.313019752
12,0.018450022,-0.156509876,-0.138059854,0.156509876,-0.313019752
12,-0.108871937,-0.156509876,-0.265381813,0.156509876,-0.313019752
12,-0.230057955,-0.154975891,-0.385033846,0.154975891,-0.309951782
12,-0.348176003,-0.156509876,-0.504685879,0.156509876,-0.313019752
12,-0.464760065,-0.156509876,-0.621269941,0.156509876,-0.313019752
12,-0.582878113,-0.156509876,-0.739387989,0.156509876,-0.313019752
12,-0.681054115,-0.158043861,-0.839097976,0.158043861,-0.316087722
12,-0.743947983,-0.159577847,-0.90352583,0.159577847,-0.319155694
12,-0.839056015,-0.162646055,-1.00170207,0.162646055,-0.32529211
12,-0.900416136,-0.16418004,-1.064596176,0.16418004,-0.32836008
12,-0.983252048,-0.16418004,-1.147432088,0.16418004,-0.32836008
12,-1.058418036,-0.165714025,-1.224132061,0.165714025,-0.33142805
12,-1.125914097,-0.168781996,-1.294696093,0.168781996,-0.337563992
12,-1.181138039,-0.170315981,-1.35145402,0.170315981,-0.340631962
12,-1.221022129,-0.170315981,-1.39133811,0.170315981,-0.340631962
12,-1.250168085,-0.170315981,-1.420484066,0.170315981,-0.340631962
12,-1.267042041,-0.171849966,-1.438892007,0.171849966,-0.343699932
12,-1.268576026,-0.171849966,-1.440425992,0.171849966,-0.343699932
12,-1.27011013,-0.171849966,-1.441960096,0.171849966,-0.343699932
12,-1.27011013,-0.171849966,-1.441960096,0.171849966,-0.343699932
12,-1.268576026,-0.171849966,-1.440425992,0.171849966,-0.343699932
12,-1.27011013,-0.171849966,-1.441960096,0.171849966,-0.343699932
12,-1.268576026,-0.171849966,-1.440425992,0.171849966,-0.343699932
12,-1.268576026,-0.171849966,-1.440425992,0.171849966,-0.343699932
12,-1.2609061,-0.171849966,-1.432756066,0.171849966,-0.343699932
12,-1.22715807,-0.173383951,-1.400542021,0.173383951,-0.346767902
12,-1.193410039,-0.174917936,-1.368327975,0.174917936,-0.349835872
12,-1.170400023,-0.174917936,-1.345317959,0.174917936,-0.349835872
12,-1.155060053,-0.174917936,-1.329977989,0.174917936,-0.349835872
12,-1.116710186,-0.173383951,-1.290094137,0.173383951,-0.346767902
12,-1.082962036,-0.174917936,-1.257879972,0.174917936,-0.349835872
12,-1.059952021,-0.174917936,-1.234869957,0.174917936,-0.349835872
12,-1.01393199,-0.174917936,-1.188849926,0.174917936,-0.349835872
12,-0.986320019,-0.174917936,-1.161237955,0.174917936,-0.349835872
12,-0.941833973,-0.173383951,-1.115217924,0.173383951,-0.346767902
12,-0.909620047,-0.173383951,-1.083003998,0.173383951,-0.346767902
12,-0.862066031,-0.174917936,-1.036983967,0.174917936,-0.349835872
12,-0.816046,-0.174917936,-0.990963936,0.174917936,-0.349835872
12,-0.719403982,-0.173383951,-0.892787933,0.173383951,-0.346767902
12,-0.691792011,-0.173383951,-0.865175962,0.173383951,-0.346767902
12,-0.690258026,-0.208665848,-0.898923874,0.208665848,-0.417331696
